ID_Venta;Fecha;País;Ciudad;Cliente;Producto;Categoría;Cantidad;Precio_Unitario;Monto_Total;Medio_Envio;Estado_Envio
0019;2024-02-27;Perú;Cusco;Luis Martínez;Laptop;Electrónica;1;431.73;431.73;Aéreo;Cancelado
0020;2024-12-31;Argentina;Buenos Aires;Laura García;Impresora;Oficina;1;107.44;107.44;Aéreo;En tránsito
0021;2024-06-25;Bolivia;Santa Cruz;Lucía García;Auriculares;Accesorios;2;988.23;1976.46;Marítimo;Cancelado
0022;2024-12-17;Ecuador;Quito;Luis García;Tablet;Electrónica;2;54.21;108.42;Terrestre;Cancelado
0023;2024-10-13;Venezuela;Maracaibo;Carlos Martínez;Escritorio;Muebles;5;490.24;2451.2;Marítimo;Entregado
0024;2024-07-30;Paraguay;Ciudad del Este;Juan Pérez;Celular;Electrónica;3;671.44;2014.32;Aéreo;En tránsito
0025;2024-12-28;Paraguay;Asunción;Juan Martínez;Impresora;Oficina;4;910.53;3642.12;Terrestre;Entregado
0026;2024-11-18;Chile;Santiago;Luis López;Impresora;Oficina;4;268.58;1074.32;Aéreo;Entregado
0027;2024-06-16;Bolivia;Cochabamba;Juan Sánchez;Cámara;Electrónica;4;469.23;1876.92;Terrestre;En tránsito
0028;2024-03-24;Perú;Lima;Pedro Martínez;Teclado;Accesorios;2;681.3;1362.6;Terrestre;En tránsito
0029;2024-10-25;Bolivia;La Paz;Pedro Martínez;Teclado;Accesorios;3;739.52;2218.56;Aéreo;Cancelado
0030;2025-03-26;Venezuela;Caracas;Ana Pérez;Silla ergonómica;Muebles;4;217.11;868.44;Aéreo;En tránsito
0031;2024-10-23;Chile;Santiago;Carlos López;Monitor;Electrónica;1;160.24;160.24;Aéreo;Pendiente
0032;2024-04-19;Argentina;Córdoba;Pedro Pérez;Teclado;Accesorios;4;422.09;1688.36;Terrestre;Pendiente
0033;2024-10-02;Brasil;Rio de Janeiro;Carlos García;Cámara;Electrónica;3;772.19;2316.57;Terrestre;Cancelado
0034;2024-03-28;Perú;Arequipa;Ana García;Monitor;Electrónica;4;149.21;596.84;Terrestre;Entregado
0035;2024-12-23;Venezuela;Valencia;Laura García;Escritorio;Muebles;1;656.4;656.4;Terrestre;Entregado
0036;2025-01-07;Uruguay;Salto;Pedro Pérez;Impresora;Oficina;3;676.24;2028.72;Marítimo;Pendiente
0037;2024-03-22;Brasil;São Paulo;Carlos Martínez;Impresora;Oficina;2;256.89;513.78;Terrestre;Pendiente
0038;2025-01-30;Uruguay;Paysandú;Luis García;Celular;Electrónica;3;424.17;1272.51;Terrestre;Cancelado
0039;2024-03-07;Ecuador;Quito;Carlos Pérez;Tablet;Electrónica;3;59.03;177.09;Marítimo;En tránsito
0040;2024-11-07;Argentina;Rosario;Pedro García;Silla ergonómica;Muebles;3;143.33;429.99;Aéreo;En tránsito
0041;2025-01-23;Perú;Lima;Carlos López;Escritorio;Muebles;5;297.66;1488.3;Aéreo;Entregado
0042;2024-09-11;Perú;Cusco;Carlos Pérez;Impresora;Oficina;3;95.65;286.95;Terrestre;Pendiente
0043;2025-03-26;Venezuela;Caracas;María Sánchez;Cámara;Electrónica;2;113.75;227.5;Marítimo;Cancelado
0044;2024-01-31;Colombia;Bogotá;Carlos Pérez;Monitor;Electrónica;4;151.54;606.16;Terrestre;Pendiente
0045;2024-08-30;Perú;Arequipa;Lucía Martínez;Auriculares;Accesorios;3;566.17;1698.51;Aéreo;Entregado
0046;2024-10-18;Chile;Santiago;Luis López;Celular;Electrónica;5;552.5;2762.5;Marítimo;Entregado
0047;2024-02-03;Perú;Lima;Lucía Pérez;Impresora;Oficina;3;777.31;2331.93;Aéreo;Entregado
0048;2025-03-06;Perú;Cusco;Laura García;Auriculares;Accesorios;4;440.67;1762.68;Marítimo;Cancelado
0049;2024-03-22;Bolivia;La Paz;Ana Rodríguez;Auriculares;Accesorios;2;323.83;647.66;Marítimo;Pendiente
0050;2024-01-27;Venezuela;Valencia;Laura Sánchez;Teclado;Accesorios;1;1014.77;1014.77;Marítimo;Cancelado
0051;2025-01-18;Argentina;Córdoba;Pedro López;Impresora;Oficina;3;262.13;786.39;Aéreo;Entregado
0052;2024-11-02;Brasil;Rio de Janeiro;Lucía López;Teclado;Accesorios;5;1144.18;5720.9;Terrestre;Pendiente
0053;2024-09-21;Uruguay;Montevideo;Pedro García;Laptop;Electrónica;2;757.7;1515.4;Terrestre;Cancelado
0054;2025-03-08;Ecuador;Guayaquil;Juan Rodríguez;Auriculares;Accesorios;1;451;451;Aéreo;En tránsito
0055;2025-02-24;Bolivia;La Paz;Ana Martínez;Silla ergonómica;Muebles;5;896.93;4484.65;Aéreo;Entregado
0056;2024-02-12;Venezuela;Maracaibo;María Martínez;Monitor;Electrónica;1;171.66;171.66;Aéreo;Entregado
0057;2024-05-13;Perú;Cusco;Lucía López;Cámara;Electrónica;2;632.83;1265.66;Aéreo;Pendiente
0058;2024-05-30;Argentina;Rosario;Juan Pérez;Auriculares;Accesorios;4;790.31;3161.24;Aéreo;Cancelado
0059;2024-07-04;Ecuador;Quito;María García;Teclado;Accesorios;1;967.9;967.9;Aéreo;En tránsito
0060;2024-06-18;Uruguay;Montevideo;Pedro López;Auriculares;Accesorios;4;1166.91;4667.64;Aéreo;Cancelado
0061;2024-12-03;Argentina;Córdoba;Laura Sánchez;Monitor;Electrónica;1;1184.65;1184.65;Aéreo;Cancelado
0062;2024-01-16;Ecuador;Guayaquil;Laura Martínez;Tablet;Electrónica;5;778.04;3890.2;Marítimo;Pendiente
0063;2024-11-05;Bolivia;La Paz;Luis López;Tablet;Electrónica;4;1090.29;4361.16;Aéreo;En tránsito
0064;2024-09-07;Venezuela;Maracaibo;María Martínez;Laptop;Electrónica;1;1010.59;1010.59;Terrestre;Pendiente
0065;2024-11-30;Perú;Cusco;Juan Martínez;Silla ergonómica;Muebles;4;212.09;848.36;Terrestre;Cancelado
0066;2024-03-13;Brasil;Rio de Janeiro;Juan Martínez;Monitor;Electrónica;5;309.02;1545.1;Terrestre;En tránsito
0067;2024-07-22;Colombia;Cali;María García;Celular;Electrónica;3;1086.91;3260.73;Aéreo;En tránsito
0068;2024-05-14;Colombia;Medellín;Carlos Sánchez;Silla ergonómica;Muebles;4;1014.16;4056.64;Aéreo;En tránsito
0069;2025-02-28;Ecuador;Quito;Pedro García;Laptop;Electrónica;2;332.3;664.6;Aéreo;Entregado
0070;2025-01-19;Argentina;Rosario;Laura Sánchez;Silla ergonómica;Muebles;5;813.84;4069.2;Aéreo;En tránsito
0071;2025-02-21;Bolivia;Santa Cruz;Ana López;Cámara;Electrónica;1;565.99;565.99;Aéreo;Entregado
0072;2024-09-13;Bolivia;Santa Cruz;María Pérez;Escritorio;Muebles;1;702.52;702.52;Aéreo;En tránsito
0073;2024-03-18;Argentina;Rosario;Ana Sánchez;Impresora;Oficina;5;34.31;171.55;Aéreo;Cancelado
0074;2024-02-15;Uruguay;Montevideo;Juan Pérez;Impresora;Oficina;1;411.43;411.43;Terrestre;Entregado
0075;2024-07-26;Perú;Cusco;Juan Rodríguez;Teclado;Accesorios;3;301.86;905.58;Aéreo;Entregado
0076;2024-02-15;Bolivia;Cochabamba;María García;Laptop;Electrónica;1;767.33;767.33;Aéreo;Pendiente
0077;2025-01-13;Venezuela;Caracas;Laura Martínez;Teclado;Accesorios;1;35.47;35.47;Aéreo;Pendiente
0078;2024-06-18;Brasil;São Paulo;Juan Martínez;Escritorio;Muebles;5;484.26;2421.3;Aéreo;En tránsito
0079;2024-07-04;Perú;Cusco;Laura Rodríguez;Impresora;Oficina;1;517.02;517.02;Aéreo;Pendiente
0080;2024-10-30;Venezuela;Caracas;Ana Pérez;Auriculares;Accesorios;2;553.42;1106.84;Marítimo;Entregado
0081;2024-10-19;Uruguay;Montevideo;Pedro Sánchez;Laptop;Electrónica;2;967.58;1935.16;Aéreo;Pendiente
0082;2024-08-02;Venezuela;Maracaibo;Luis Rodríguez;Celular;Electrónica;2;416.39;832.78;Aéreo;Entregado
0083;2024-06-19;Uruguay;Montevideo;Ana Pérez;Teclado;Accesorios;1;564.89;564.89;Marítimo;Entregado
0084;2025-03-07;Colombia;Medellín;Luis Martínez;Cámara;Electrónica;3;1144.82;3434.46;Marítimo;En tránsito
0085;2024-10-01;Ecuador;Quito;Pedro Rodríguez;Tablet;Electrónica;1;578.07;578.07;Marítimo;Pendiente
0086;2024-09-19;Chile;Santiago;Juan López;Celular;Electrónica;1;123.74;123.74;Aéreo;Pendiente
0087;2025-03-01;Venezuela;Maracaibo;María Martínez;Monitor;Electrónica;4;584.53;2338.12;Marítimo;En tránsito
0088;2024-11-11;Uruguay;Paysandú;Juan García;Celular;Electrónica;2;125.45;250.9;Marítimo;En tránsito
0089;2024-09-27;Colombia;Cali;Ana Martínez;Impresora;Oficina;5;1162.73;5813.65;Marítimo;Entregado
0090;2024-05-19;Perú;Lima;María Rodríguez;Auriculares;Accesorios;4;682.56;2730.24;Terrestre;En tránsito
0091;2025-01-03;Paraguay;Ciudad del Este;Laura Rodríguez;Tablet;Electrónica;3;564.61;1693.83;Aéreo;En tránsito
0092;2024-05-17;Uruguay;Salto;María García;Teclado;Accesorios;4;944.07;3776.28;Aéreo;Cancelado
0093;2024-04-16;Venezuela;Valencia;María Pérez;Cámara;Electrónica;4;287.86;1151.44;Marítimo;Pendiente
0094;2024-03-25;Paraguay;Ciudad del Este;Luis López;Teclado;Accesorios;4;381.26;1525.04;Aéreo;En tránsito
0095;2025-02-04;Uruguay;Paysandú;Juan García;Escritorio;Muebles;1;543.99;543.99;Terrestre;En tránsito
0096;2025-01-12;Chile;Santiago;Luis Martínez;Silla ergonómica;Muebles;1;723.41;723.41;Aéreo;Entregado
0097;2024-09-21;Colombia;Medellín;Laura Rodríguez;Celular;Electrónica;1;483.83;483.83;Terrestre;Pendiente
0098;2024-06-07;Paraguay;Ciudad del Este;Lucía Pérez;Tablet;Electrónica;4;370.69;1482.76;Marítimo;En tránsito
0099;2024-09-01;Venezuela;Caracas;Ana Sánchez;Cámara;Electrónica;4;483.29;1933.16;Aéreo;Entregado
0100;2024-03-27;Bolivia;Santa Cruz;Juan López;Laptop;Electrónica;3;339.56;1018.68;Marítimo;Cancelado
0101;2024-03-15;Uruguay;Montevideo;Luis López;Celular;Electrónica;2;378.87;757.74;Terrestre;Entregado
0102;2024-05-02;Argentina;Córdoba;Ana García;Laptop;Electrónica;5;977.65;4888.25;Aéreo;Pendiente
0103;2024-04-09;Brasil;Rio de Janeiro;Luis Sánchez;Laptop;Electrónica;4;1072.49;4289.96;Terrestre;Entregado
0104;2024-05-05;Ecuador;Cuenca;Pedro Sánchez;Monitor;Electrónica;1;295.49;295.49;Aéreo;Cancelado
0105;2024-12-17;Perú;Lima;Pedro López;Silla ergonómica;Muebles;3;733.92;2201.76;Terrestre;En tránsito
0106;2024-03-05;Colombia;Bogotá;Lucía Martínez;Impresora;Oficina;5;559.94;2799.7;Terrestre;Cancelado
0107;2024-03-15;Colombia;Cali;María Pérez;Escritorio;Muebles;1;89.41;89.41;Aéreo;Entregado
0108;2024-08-02;Chile;Concepción;Ana López;Silla ergonómica;Muebles;2;726.03;1452.06;Terrestre;En tránsito
0109;2024-07-23;Colombia;Cali;Ana Martínez;Silla ergonómica;Muebles;1;101.38;101.38;Terrestre;Entregado
0110;2024-08-26;Brasil;Brasília;Laura García;Laptop;Electrónica;2;352.48;704.96;Terrestre;Pendiente
0111;2024-07-20;Venezuela;Caracas;Carlos Rodríguez;Escritorio;Muebles;5;387.84;1939.2;Terrestre;Entregado
0112;2024-05-20;Argentina;Buenos Aires;Juan Rodríguez;Cámara;Electrónica;2;94.41;188.82;Marítimo;Entregado
0113;2024-09-12;Ecuador;Cuenca;Lucía López;Impresora;Oficina;5;588.31;2941.55;Terrestre;En tránsito
0114;2025-02-08;Paraguay;Encarnación;María Martínez;Silla ergonómica;Muebles;5;710.17;3550.85;Aéreo;Cancelado
0115;2024-12-12;Bolivia;La Paz;Lucía Sánchez;Celular;Electrónica;4;28.49;113.96;Terrestre;Pendiente
0116;2024-07-15;Chile;Santiago;Lucía López;Escritorio;Muebles;3;706.41;2119.23;Aéreo;En tránsito
0117;2024-01-09;Paraguay;Ciudad del Este;Lucía Martínez;Monitor;Electrónica;3;709.86;2129.58;Terrestre;Cancelado
0118;2024-09-11;Chile;Santiago;Juan Martínez;Cámara;Electrónica;2;50.58;101.16;Marítimo;Pendiente
0119;2024-05-29;Brasil;Brasília;Laura Sánchez;Cámara;Electrónica;2;139.82;279.64;Aéreo;Cancelado
0120;2024-04-23;Brasil;Rio de Janeiro;Carlos Sánchez;Escritorio;Muebles;2;73.44;146.88;Aéreo;Cancelado
0121;2024-01-25;Brasil;São Paulo;Pedro Sánchez;Monitor;Electrónica;3;891.94;2675.82;Terrestre;Cancelado
0122;2024-12-31;Perú;Cusco;Lucía Martínez;Impresora;Oficina;2;938.67;1877.34;Terrestre;Entregado
0123;2024-08-30;Perú;Lima;Luis López;Cámara;Electrónica;3;888.7;2666.1;Marítimo;Cancelado
0124;2024-03-13;Paraguay;Encarnación;Carlos Sánchez;Auriculares;Accesorios;3;39.03;117.09;Aéreo;Pendiente
0125;2025-01-17;Bolivia;Santa Cruz;Luis García;Tablet;Electrónica;2;778.74;1557.48;Aéreo;Pendiente
0126;2024-08-19;Bolivia;Santa Cruz;Lucía García;Silla ergonómica;Muebles;2;928.82;1857.64;Terrestre;Entregado
0127;2024-11-03;Chile;Santiago;Laura Rodríguez;Celular;Electrónica;2;658.84;1317.68;Aéreo;Cancelado
0128;2024-08-15;Argentina;Córdoba;Laura Sánchez;Teclado;Accesorios;3;979.93;2939.79;Terrestre;Pendiente
0129;2024-06-25;Chile;Santiago;Lucía Martínez;Cámara;Electrónica;4;405.15;1620.6;Aéreo;Pendiente
0130;2024-06-28;Chile;Santiago;Lucía Sánchez;Celular;Electrónica;5;1129.52;5647.6;Marítimo;Pendiente
0131;2024-12-29;Venezuela;Maracaibo;María Sánchez;Monitor;Electrónica;3;601.07;1803.21;Terrestre;Pendiente
0132;2024-04-12;Colombia;Medellín;Lucía García;Cámara;Electrónica;4;265.11;1060.44;Terrestre;En tránsito
0133;2024-10-12;Bolivia;La Paz;Juan Martínez;Escritorio;Muebles;1;1119.96;1119.96;Marítimo;Pendiente
0134;2024-01-25;Chile;Santiago;María Rodríguez;Celular;Electrónica;3;381.12;1143.36;Marítimo;Entregado
0135;2025-01-06;Bolivia;La Paz;Lucía García;Teclado;Accesorios;1;1104.43;1104.43;Terrestre;Pendiente
0136;2024-08-28;Brasil;Brasília;María Martínez;Auriculares;Accesorios;5;688.11;3440.55;Terrestre;Cancelado
0137;2024-07-14;Ecuador;Guayaquil;Laura Sánchez;Tablet;Electrónica;5;392.24;1961.2;Aéreo;En tránsito
0138;2025-03-14;Chile;Santiago;Carlos Rodríguez;Cámara;Electrónica;4;320.92;1283.68;Aéreo;Cancelado
0139;2024-05-08;Colombia;Bogotá;Juan Sánchez;Impresora;Oficina;5;37.79;188.95;Aéreo;En tránsito
0140;2025-01-12;Argentina;Buenos Aires;María Sánchez;Teclado;Accesorios;2;95.37;190.74;Terrestre;Cancelado
0141;2024-07-26;Uruguay;Paysandú;Carlos Rodríguez;Teclado;Accesorios;4;1152.64;4610.56;Terrestre;Entregado
0142;2024-04-03;Colombia;Medellín;Carlos Pérez;Impresora;Oficina;1;115.6;115.6;Marítimo;Cancelado
0143;2024-10-10;Ecuador;Guayaquil;María López;Silla ergonómica;Muebles;1;889.27;889.27;Aéreo;En tránsito
0144;2024-06-10;Ecuador;Guayaquil;Pedro Sánchez;Cámara;Electrónica;5;180.04;900.2;Marítimo;En tránsito
0145;2024-02-03;Argentina;Rosario;Carlos López;Impresora;Oficina;2;332.02;664.04;Marítimo;Cancelado
0146;2024-03-15;Bolivia;Santa Cruz;Carlos Rodríguez;Cámara;Electrónica;3;472.1;1416.3;Marítimo;En tránsito
0147;2024-08-25;Perú;Arequipa;Lucía López;Cámara;Electrónica;3;215.43;646.29;Marítimo;En tránsito
0148;2024-02-02;Perú;Cusco;Carlos Martínez;Tablet;Electrónica;5;1007.05;5035.25;Aéreo;Pendiente
0149;2024-10-18;Paraguay;Ciudad del Este;María García;Celular;Electrónica;4;176.98;707.92;Aéreo;En tránsito
0150;2024-06-07;Uruguay;Paysandú;Carlos Martínez;Auriculares;Accesorios;3;572.37;1717.11;Aéreo;Cancelado
0151;2024-05-23;Argentina;Rosario;María Rodríguez;Silla ergonómica;Muebles;2;61.34;122.68;Terrestre;En tránsito
0152;2024-07-12;Chile;Santiago;Laura Rodríguez;Tablet;Electrónica;1;1041.61;1041.61;Aéreo;Entregado
0153;2024-12-25;Paraguay;Ciudad del Este;Carlos Sánchez;Escritorio;Muebles;3;1067.18;3201.54;Terrestre;Entregado
0154;2024-10-17;Uruguay;Montevideo;Pedro Sánchez;Escritorio;Muebles;2;1192.34;2384.68;Terrestre;Cancelado
0155;2024-08-04;Perú;Lima;Carlos Sánchez;Silla ergonómica;Muebles;5;381.27;1906.35;Terrestre;Pendiente
0156;2024-07-17;Ecuador;Quito;Carlos García;Impresora;Oficina;1;1024.78;1024.78;Aéreo;Pendiente
0157;2024-07-31;Argentina;Buenos Aires;Luis Rodríguez;Silla ergonómica;Muebles;5;1103.84;5519.2;Marítimo;Cancelado
0158;2024-04-07;Perú;Lima;María Martínez;Auriculares;Accesorios;2;294.16;588.32;Aéreo;En tránsito
0159;2024-08-16;Argentina;Córdoba;Luis Martínez;Impresora;Oficina;1;1009.29;1009.29;Terrestre;Cancelado
0160;2024-12-03;Venezuela;Valencia;Carlos López;Escritorio;Muebles;4;442.92;1771.68;Aéreo;En tránsito
0161;2024-02-22;Chile;Valparaíso;Ana Rodríguez;Laptop;Electrónica;3;921.34;2764.02;Terrestre;Pendiente
0162;2024-09-19;Perú;Lima;Pedro Rodríguez;Tablet;Electrónica;4;836.32;3345.28;Terrestre;Entregado
0163;2025-02-27;Argentina;Córdoba;Pedro López;Impresora;Oficina;2;203.59;407.18;Aéreo;Pendiente
0164;2025-01-09;Argentina;Rosario;Lucía Pérez;Silla ergonómica;Muebles;2;268.77;537.54;Terrestre;Pendiente
0165;2024-06-27;Chile;Santiago;Pedro García;Escritorio;Muebles;1;431.19;431.19;Terrestre;Pendiente
0166;2025-03-22;Paraguay;Encarnación;Ana Sánchez;Celular;Electrónica;4;1166.11;4664.44;Aéreo;Pendiente
0167;2024-08-24;Brasil;Rio de Janeiro;María Rodríguez;Silla ergonómica;Muebles;3;118.76;356.28;Terrestre;Entregado
0168;2024-12-12;Brasil;Rio de Janeiro;Lucía Sánchez;Auriculares;Accesorios;5;94.4;472;Terrestre;En tránsito
0169;2024-09-15;Argentina;Córdoba;María Rodríguez;Celular;Electrónica;3;697.11;2091.33;Marítimo;Entregado
0170;2024-07-25;Perú;Lima;Lucía López;Escritorio;Muebles;3;781.91;2345.73;Marítimo;Pendiente
0171;2025-01-09;Argentina;Rosario;María López;Laptop;Electrónica;4;1171.62;4686.48;Marítimo;En tránsito
0172;2024-07-14;Chile;Concepción;Carlos García;Monitor;Electrónica;5;1161.61;5808.05;Terrestre;Pendiente
0173;2024-01-02;Colombia;Medellín;Ana Rodríguez;Escritorio;Muebles;2;126.08;252.16;Aéreo;En tránsito
0174;2024-07-01;Bolivia;La Paz;Pedro García;Impresora;Oficina;3;1087.96;3263.88;Terrestre;Entregado
0175;2024-10-15;Paraguay;Ciudad del Este;Lucía Pérez;Laptop;Electrónica;3;549.88;1649.64;Marítimo;Entregado
0176;2024-03-30;Uruguay;Montevideo;María Sánchez;Laptop;Electrónica;5;239.76;1198.8;Aéreo;Pendiente
0177;2024-10-26;Brasil;São Paulo;María López;Teclado;Accesorios;2;1082.24;2164.48;Terrestre;Cancelado
0178;2025-03-16;Chile;Valparaíso;Luis Pérez;Auriculares;Accesorios;1;456.76;456.76;Marítimo;Entregado
0179;2024-10-29;Ecuador;Quito;Juan Sánchez;Silla ergonómica;Muebles;5;371.33;1856.65;Aéreo;Pendiente
0180;2024-09-29;Uruguay;Paysandú;Pedro García;Teclado;Accesorios;1;573.82;573.82;Aéreo;En tránsito
0181;2024-03-09;Chile;Santiago;Juan Sánchez;Impresora;Oficina;4;145.83;583.32;Aéreo;Cancelado
0182;2024-04-10;Colombia;Cali;Pedro López;Celular;Electrónica;3;500.44;1501.32;Aéreo;Cancelado
0183;2024-06-16;Colombia;Bogotá;Luis Sánchez;Escritorio;Muebles;1;398.14;398.14;Marítimo;Pendiente
0184;2024-05-20;Colombia;Medellín;Pedro García;Auriculares;Accesorios;5;621.68;3108.4;Aéreo;Pendiente
0185;2024-10-10;Ecuador;Guayaquil;Carlos Sánchez;Escritorio;Muebles;1;817.39;817.39;Terrestre;En tránsito
0186;2024-11-24;Colombia;Medellín;Luis López;Teclado;Accesorios;3;521.24;1563.72;Marítimo;Entregado
0187;2025-02-23;Colombia;Cali;Carlos López;Celular;Electrónica;3;1013.46;3040.38;Terrestre;Pendiente
0188;2024-11-22;Chile;Valparaíso;Pedro Sánchez;Tablet;Electrónica;2;237.5;475;Terrestre;Pendiente
0189;2024-01-26;Paraguay;Ciudad del Este;María Martínez;Teclado;Accesorios;2;1196.91;2393.82;Marítimo;Pendiente
0190;2025-02-09;Bolivia;Santa Cruz;Ana García;Escritorio;Muebles;4;549.12;2196.48;Marítimo;Cancelado
0191;2025-01-11;Colombia;Cali;Carlos Rodríguez;Monitor;Electrónica;1;957.51;957.51;Terrestre;En tránsito
0192;2025-01-21;Paraguay;Asunción;María Rodríguez;Silla ergonómica;Muebles;5;482.19;2410.95;Terrestre;Entregado
0193;2024-11-03;Paraguay;Ciudad del Este;Laura López;Cámara;Electrónica;5;572.38;2861.9;Terrestre;Pendiente
0194;2024-10-13;Uruguay;Paysandú;Pedro García;Laptop;Electrónica;3;1027.77;3083.31;Marítimo;Pendiente
0195;2024-11-17;Perú;Cusco;Laura López;Escritorio;Muebles;4;219.24;876.96;Marítimo;En tránsito
0196;2025-02-22;Ecuador;Cuenca;Laura López;Teclado;Accesorios;1;163.2;163.2;Terrestre;En tránsito
0197;2025-03-07;Argentina;Rosario;Lucía Martínez;Teclado;Accesorios;4;216.13;864.52;Terrestre;Cancelado
0198;2024-03-20;Brasil;Brasília;Carlos Pérez;Teclado;Accesorios;2;895.65;1791.3;Marítimo;Pendiente
0199;2024-12-24;Venezuela;Maracaibo;Lucía López;Celular;Electrónica;4;801.08;3204.32;Terrestre;Entregado
0200;2025-01-05;Colombia;Medellín;Carlos Rodríguez;Impresora;Oficina;5;1008.94;5044.7;Marítimo;Entregado
0201;2025-01-21;Ecuador;Cuenca;Juan García;Cámara;Electrónica;2;807.09;1614.18;Terrestre;En tránsito
0202;2024-06-16;Ecuador;Guayaquil;Juan Sánchez;Monitor;Electrónica;4;1094.91;4379.64;Marítimo;Pendiente
0203;2024-04-16;Brasil;Brasília;Lucía García;Teclado;Accesorios;1;167.07;167.07;Aéreo;Cancelado
0204;2024-12-27;Chile;Concepción;María Rodríguez;Tablet;Electrónica;2;217.8;435.6;Aéreo;Pendiente
0205;2024-09-16;Paraguay;Asunción;Ana García;Celular;Electrónica;3;985.79;2957.37;Aéreo;En tránsito
0206;2024-02-29;Ecuador;Guayaquil;Juan Sánchez;Cámara;Electrónica;3;1096.95;3290.85;Terrestre;Pendiente
0207;2024-11-20;Chile;Santiago;Luis López;Laptop;Electrónica;1;602.03;602.03;Marítimo;Cancelado
0208;2025-02-20;Argentina;Rosario;Juan Pérez;Auriculares;Accesorios;1;140.49;140.49;Terrestre;Entregado
0209;2025-03-15;Ecuador;Quito;Luis Rodríguez;Teclado;Accesorios;4;119.85;479.4;Terrestre;En tránsito
0210;2025-03-01;Ecuador;Quito;Juan Sánchez;Silla ergonómica;Muebles;1;542.99;542.99;Aéreo;Cancelado
0211;2024-12-10;Uruguay;Montevideo;Carlos Martínez;Cámara;Electrónica;2;273.46;546.92;Terrestre;Cancelado
0212;2024-06-28;Paraguay;Ciudad del Este;Luis Pérez;Auriculares;Accesorios;4;585.02;2340.08;Aéreo;Cancelado
0213;2025-03-15;Bolivia;La Paz;Pedro López;Laptop;Electrónica;2;1179.69;2359.38;Marítimo;Cancelado
0214;2024-09-01;Brasil;Brasília;Juan Pérez;Monitor;Electrónica;4;125.78;503.12;Aéreo;Cancelado
0215;2024-05-18;Ecuador;Guayaquil;Luis Sánchez;Cámara;Electrónica;5;668.07;3340.35;Aéreo;Entregado
0216;2024-12-07;Ecuador;Cuenca;Ana García;Monitor;Electrónica;2;1041.23;2082.46;Terrestre;Cancelado
0217;2024-09-14;Paraguay;Encarnación;Laura Sánchez;Silla ergonómica;Muebles;2;315.53;631.06;Aéreo;Pendiente
0218;2024-03-26;Paraguay;Ciudad del Este;Ana Martínez;Tablet;Electrónica;1;630.06;630.06;Terrestre;Pendiente
0219;2024-01-26;Argentina;Córdoba;María Martínez;Monitor;Electrónica;2;413.47;826.94;Marítimo;Cancelado
0220;2024-02-02;Bolivia;Cochabamba;Luis Martínez;Impresora;Oficina;5;57.61;288.05;Aéreo;Entregado
0221;2024-04-14;Perú;Cusco;Pedro Rodríguez;Auriculares;Accesorios;4;1100.29;4401.16;Aéreo;Pendiente
